imp_age,imp_educat,imp_female,imp_race,sevhard,sevhealthd,spmpov,spmres
50,4,0,1. White Non-Hispanic,0,0,0,141347.52
30,4,0,3. Asian Non-Hispanic,0,0,0,96132.5
29,2,1,5. Hispanic,1,0,1,16781.809
56,2,1,2. Black Non-Hispanic,1,1,1,17283
71,4,1,2. Black Non-Hispanic,0,0,0,423890
52,1,0,5. Hispanic,1,1,1,99.035004
51,1,1,5. Hispanic,1,1,0,70978.492
51,1,0,5. Hispanic,1,1,0,53075.051
62,4,1,1. White Non-Hispanic,0,1,0,75886
20,3,1,5. Hispanic,0,0,0,32418.131
32,4,1,5. Hispanic,0,0,0,65077.398
62,1,0,5. Hispanic,0,1,1,9516
28,2,1,5. Hispanic,1,0,1,8466.1494
60,3,1,2. Black Non-Hispanic,0,0,1,14261.239
63,3,1,5. Hispanic,0,0,1,19702.998
81,3,0,1. White Non-Hispanic,0,1,0,38230.152
24,4,1,1. White Non-Hispanic,1,0,1,1881.3347
18,1,1,2. Black Non-Hispanic,0,0,1,17189.494
50,4,1,2. Black Non-Hispanic,0,0,0,77605.25
69,2,0,2. Black Non-Hispanic,1,0,0,20452.902
76,1,0,5. Hispanic,0,0,0,17595.523
20,3,1,3. Asian Non-Hispanic,0,0,1,37523.73
58.40800627,4,1,2. Black Non-Hispanic,0,0,0,184095.48
63,2,1,1. White Non-Hispanic,0,1,1,9435
52,4,0,1. White Non-Hispanic,0,0,1,42260.5
25,3,1,5. Hispanic,0,0,0,101456
18,3,1,4. Other / MultiRacial,0,0,0,65794.289
36,4,0,5. Hispanic,0,0,0,49945.5
50,2,1,2. Black Non-Hispanic,1,0,0,44348.25
21,3,1,1. White Non-Hispanic,0,0,0,55189.297
58.65616603,3,0,2. Black Non-Hispanic,1,0,0,20529.547
27,2,1,2. Black Non-Hispanic,1,0,0,56686.816
50,4,0,1. White Non-Hispanic,1,0,0,423890
51,4,1,4. Other / MultiRacial,0,0,0,88930.602
36.47755247,4,1,5. Hispanic,0,0,0,112555.7
27,4,0,4. Other / MultiRacial,0,0,0,69811.07
58,4,1,1. White Non-Hispanic,0,0,0,93103.766
47,3,1,2. Black Non-Hispanic,0,0,0,22113.25
56,2,0,2. Black Non-Hispanic,1,0,0,23099.5
42,4,1,2. Black Non-Hispanic,0,0,0,119011.77
40,4,0,1. White Non-Hispanic,0,0,0,139736.17
35,1,1,5. Hispanic,0,0,0,70007.023
51,3,0,1. White Non-Hispanic,0,0,0,19445.418
58,3,1,5. Hispanic,1,1,0,41815.25
28,4,1,1. White Non-Hispanic,0,0,0,156974.33
40,3,1,2. Black Non-Hispanic,1,0,1,24930.576
72,4,1,1. White Non-Hispanic,0,0,0,91667.289
26,2,1,5. Hispanic,1,0,1,22497.189
49,1,0,2. Black Non-Hispanic,1,1,1,12010.86
91,4,1,1. White Non-Hispanic,0,0,0,24361.197
73,4,1,3. Asian Non-Hispanic,0,1,1,13051.109
22,1,1,5. Hispanic,1,0,1,7852.543
58,4,0,3. Asian Non-Hispanic,0,0,0,136054.16
37,4,0,1. White Non-Hispanic,0,0,0,79437
40,2,1,5. Hispanic,1,0,1,13620.233
87,1,1,5. Hispanic,1,1,0,18953.023
66,4,1,1. White Non-Hispanic,0,1,0,79934.156
69,1,0,5. Hispanic,0,0,0,35630.477
54,2,0,5. Hispanic,1,1,0,19580.152
65,4,1,1. White Non-Hispanic,0,0,0,188347.64
51,3,0,1. White Non-Hispanic,0,1,0,56859.734
62,3,1,1. White Non-Hispanic,1,1,0,87699.594
22,4,1,1. White Non-Hispanic,0,0,0,78704.719
32,3,0,2. Black Non-Hispanic,1,1,0,20643.637
76,2,1,2. Black Non-Hispanic,0,0,0,15205.98
55,4,0,1. White Non-Hispanic,0,0,0,51903.078
82,1,0,5. Hispanic,1,0,1,13165.941
54,2,0,2. Black Non-Hispanic,1,0,1,11017.673
63,4,0,1. White Non-Hispanic,0,1,0,423890
37,4,1,1. White Non-Hispanic,0,1,1,11237.094
49,3,0,4. Other / MultiRacial,0,1,0,226480.7
54,1,1,5. Hispanic,1,1,0,33129.191
32,2,1,2. Black Non-Hispanic,1,0,0,49179.996
72,2,1,2. Black Non-Hispanic,1,0,0,139640.61
39,4,1,2. Black Non-Hispanic,1,1,0,67370.25
54,3,1,1. White Non-Hispanic,1,1,0,33401.238
18,4,0,5. Hispanic,1,0,1,8168.2329
38,4,1,5. Hispanic,1,0,0,79885.359
38.4264491,4,1,4. Other / MultiRacial,1,0,0,21433
36,3,1,5. Hispanic,1,0,0,35193.102
37,4,1,1. White Non-Hispanic,0,0,0,149549.7
52,1,1,2. Black Non-Hispanic,1,0,0,18338.344
20,1,0,4. Other / MultiRacial,0,0,1,26720.879
48,4,1,1. White Non-Hispanic,0,0,0,41048.25
24,4,1,3. Asian Non-Hispanic,0,0,0,20184.986
26,4,1,1. White Non-Hispanic,0,0,0,41769.25
66,4,0,1. White Non-Hispanic,0,0,0,129753.39
58,4,1,1. White Non-Hispanic,1,1,1,3680.4141
53,3,1,4. Other / MultiRacial,1,1,0,28075
23,2,1,2. Black Non-Hispanic,1,0,0,84321.891
24,1,1,5. Hispanic,1,0,0,101413.14
28,3,1,1. White Non-Hispanic,0,0,0,55396.34
22,4,1,2. Black Non-Hispanic,0,0,1,24957.699
45,4,1,3. Asian Non-Hispanic,1,0,0,72106.883
52,2,1,1. White Non-Hispanic,1,1,0,29285.744
54,2,0,4. Other / MultiRacial,1,1,1,11202.48
72,3,1,5. Hispanic,1,1,0,73335.328
65,1,1,5. Hispanic,1,0,0,35291.98
63,4,1,5. Hispanic,0,0,1,10324.566
68,4,1,1. White Non-Hispanic,1,0,0,21900
23,3,0,3. Asian Non-Hispanic,1,0,0,91370.875
57,2,0,2. Black Non-Hispanic,1,1,1,13372.813
44,1,0,5. Hispanic,0,0,0,89357.086
18,3,1,5. Hispanic,0,0,0,43175.141
69,4,0,1. White Non-Hispanic,0,0,0,222899
46,4,1,1. White Non-Hispanic,0,0,0,190588.45
