Age,Household_Resources
62,70838.859
21,20159.5
62,12901.943
40,25678.949
49,77138.25
76,96329.242
56,51853.832
22,60064.141
26,43193.141
47,43504.25
55,20001.02
29,84844.633
22,53881.758
26,150158.81
42,11684.42
56,159027.33
60,21920.949
43,2419.8164
52,164380.88
55,102331.14
53,1873.63
53,207400
25,102056.6
28,39268
40,119891.2
20,165820.47
69,120237.41
69,195000
60,20531.998
49,19982.023
41,33173.57
50,63924.602
34,13117.36
34,81979.375
29,44988.383
20,49336.73
46,132821.58
64,1439.7712
30,43386.25
51,88930.602
25,56945.941
28,138291.25
21,41224.441
20,126846.11
46,5941.2178
35,27395.936
34,56958.801
45,24201.869
21,90102.648
32,66784.578
45,207400
42,9644.9502
27,69811.07
27,44613.039
34,46867.34
49,-4348.4331
29,19558.58
62,154657.09
44,100894.35
53,7440.3823
18,12819.73
51,23534.164
55,95502.25
43,73186
52,64783.211
52,69818.25
62,29920.238
67,25077.313
26,112728.25
28,39821.512
30,64424.813
52,56119.27
66,48900
32,47443.25
32,84244.234
46,79066.102
57,26292.115
44,68200.961
49,42581.688
33,54951.75
30,19706.25
26,23007.701
28,22944.889
37,57585.906
36,207400
36,207400
25,190043.25
40,42253.723
58,27296.625
53,14713
34,115672.62
60,33735.301
44,43702.879
54,7418.9775
41,94014.234
59,17890.523
35,79151.734
21,30095.342
31,115523.96
31,49314.25
62,32423.264
35,74005.5
52,207400
42,39100.25
29,139186.61
39,81659.359
19,36601.063
18,153655.25
60,14322.861
49,20873.793
84,84592.203
80,113889.52
32,21706.25
40,207400
51,29506.326
33,23671.414
37,77223.703
20,37523.73
22,17587.73
54,207400
32,19069.004
41,33123.539
31,50165.5
58,96441.297
41,104106.05
,20529.547
55,153397.05
52,15445.546
21,38873.051
53,81391.969
25,68710.203
52,21077.043
20,53084.906
66,57434.844
40,74864.742
32,22575.471
23,288.03122
28,37725.117
32,103232.5
49,126012.45
23,28574.539
42,39139.457
40,12702.868
50,5244.5137
75,207400
66,132850.3
41,43534.25
22,132887.22
49,93810.344
57,44913.043
24,19624.42
80,46422.453
24,72137.781
36,54654.289
56,63352
40,113490.3
27,21417.33
56,37073.156
48,133325.31
21,-200
49,25626.012
65,26503.566
26,14038.75
34,15099.75
43,40705.824
35,152549.22
60,51461.293
65,75114
24,102933.98
54,90817.25
19,34472.305
57,96678
61,99366.938
45,5934.8359
30,29489.75
19,25739.531
40,34127.867
40,86887.078
48,73240.5
18,26148.863
18,112918.39
24,24276.25
44,15763.729
44,122003.64
30,18936
41,6093.0249
63,17218.043
52,26048
47,13894.73
21,25340.631
40,13620.233
44,102287.93
18,47803.535
38,99533.297
61,4673.5425
28,36559.234
18,17189.494
21,4659
46,19502.773
54,39170.117
49,34050.492
31,89071.828
23,11840.377
32,52497.172
33,35964.07
24,21065.574
72,19926.096
65,35291.98
40,18760.625
58,-4820.627
19,10756.36
44,207400
33,83350.766
22,29336.01
22,7852.543
40,31690.387
18,15034.708
27,76039.203
42,15626.822
46,16650.32
33,128151.8
42,48070.484
54,5655.5684
60,9747
40,124667.05
43,29548.25
47,52467.078
19,13904.588
28,91423.25
46,26169.568
51,85860.68
54,22995.119
27,138768.25
45,42274.781
33,44958.719
48,44984.824
35,108873.88
25,115378.75
28,18762.91
35,24814.676
26,26597.619
78,26136.18
22,58774.402
25,99814.883
70,36275.52
55,31435.211
35,207400
20,26871.002
21,37057.484
47,116282.2
70,116169.26
66,34215.879
54,207171.55
27,70861
58,74379.703
55,131703.5
53,15334.306
20,95794.953
46,79738.25
44,64107.5
34,43217.328
19,9505.1299
37,98503.125
19,42521.738
52,207400
58,25849.791
71,33566.523
29,140937.91
73,101788
19,47256.25
55,8790.7041
55,39098.539
29,38728.941
38,16907.246
24,33039.25
53,16048.773
53,185746.27
52,127254.2
38,42711.316
83,116422.3
54,25610.449
25,101456
35,30038.25
33,34889.25
53,32450.232
37,28172.25
29,37068.883
40,18001.639
23,7589.478
49,18963.555
79,128174.16
43,35555.02
30,137548.25
56,38874.25
21,88578.703
29,21221.035
24,30686.348
23,207400
24,101413.14
18,43175.141
24,20075
35,33016.59
36,50278.5
36,24270.551
63,25735.465
48,91178.508
25,207400
56,43527.914
29,68838.5
33,11973.906
33,35718.664
33,86655.555
52,5706.6899
25,0
30,29753.25
47,16790.506
42,119011.77
34,34978.012
37,207400
53,94415.781
38,73806.57
38,62537.813
58,498.85001
54,11017.673
20,31391.15
41,-4412.0771
31,207400
23,95638.664
45,14291.298
47,8254
32,16021.55
55,162575.17
37,11187.273
30,16067.592
63,19702.998
58,31409.051
52,-3294.9216
58,23298.75
46,47790.25
20,132783.66
24,15299.5
40,38810.871
27,4200.1621
61,16758.559
63,62397.363
45,89519.797
22,20762.26
40,84743.797
50,133547.13
53,71513.492
69,156605.98
23,26846.514
19,54708.75
37,96039.422
33,207400
36,53969
28,56204.5
28,5398
54,207400
26,63980.16
30,41100.09
27,33874.789
36,50268.949
32,10383.73
33,47998.25
31,207400
50,207400
50,45509.051
25,11187.279
62,15667.5
35,153413.69
49,55540.059
,30391.328
18,105838.95
33,28168.547
47,105533.2
44,38419.664
19,26354.65
21,-10
45,207400
45,41634.922
59,119016
57,10579.153
21,15188.854
,112555.7
24,4785.9058
20,19251.652
45,15398.75
31,49772.535
56,28795.568
46,77694.5
36,120946.15
62,181721.38
45,13894.043
20,9585.9932
45,25663.25
19,105068.17
27,3764.73
26,135732.25
18,5855.2681
42,207400
35,207400
24,14940.8
47,10441.465
56,19377.523
43,62391.227
54,69951.5
35,207400
33,45507.711
35,62086.445
24,17468.391
68,67700
29,31655.689
51,2538.8999
43,26148.551
24,20540.916
53,15042.98
59,3094.8445
38,25278.25
46,100229.46
47,53928.25
57,29754.609
39,77939.898
57,102818.09
21,25018.408
41,36900
57,101344.21
58,21322.523
59,45025.422
80,-4843.5737
60,84181.25
77,79737.586
76,83327.648
37,53957
85,71447.188
57,28469.76
40,24930.576
24,207400
45,78294.07
72,22390.152
70,53392.742
72,15058.578
62,49143.863
47,47002.758
61,116799.64
47,119100
46,56245
67,63000
61,82318.992
24,43107.949
53,32655.5
61,49947
50,61338.059
56,0
52,58779.859
33,28263.604
56,39226.512
70,44415.328
66,110473.83
30,45263.25
54,66820.141
39,43305.984
75,36217.063
75,131269.64
65,108199.23
43,207400
46,38039.574
62,51783.965
28,188167.42
44,83963.734
33,73979.703
,74574.203
37,98164.086
45,45922.25
60,24741.25
64,72488.078
33,137662.02
63,27299.633
20,116537.69
59,40000
40,89429.031
37,178032.67
55,38638.25
66,139174.25
56,133279.58
19,84616.43
60,111097.3
47,34219.023
59,75767.063
66,41428.609
48,17463.568
53,19151.773
50,13160.056
57,56699.902
52,90520.383
69,81568.711
30,58833.379
56,67410.5
20,70873.469
31,45028.969
42,124447.22
66,39605.109
42,12916.04
35,55974.609
,43410.75
37,21885.684
53,20179.1
46,207400
30,60131.168
58,104776
68,15161.11
35,207400
64,18654.273
49,19091.73
58,35851.836
42,105891.71
28,90348.25
39,32603.176
51,55652.18
33,4142.48
48,85006.398
40,43855.75
43,160700
53,21161.596
56,127317.3
29,44819.5
59,81529.133
26,207400
65,18566.389
69,126193.13
60,-2487.8708
82,20713.043
37,42883.602
29,38435.594
57,30825.043
42,136473.11
91,113620
48,38163.559
71,162004.98
81,21535.152
80,28025.447
85,28421.891
53,28075
28,68493.406
67,50408.449
39,87111.359
36,45895.25
46,69446.5
49,13629
47,19078.33
56,17566
65,95554.867
18,8168.2329
32,207400
74,71000
49,72361
72,23630.264
31,207400
60,55735.113
72,91667.289
,41807.781
46,14712.5
18,37175.313
94,35074.98
81,94084.734
70,29253.943
54,22738.545
56,19415.773
52,30493.189
66,1077.295
18,2812.1545
19,78786
26,41769.25
65,21052.275
62,97583.5
84,21840.902
55,54223.051
35,22589.039
39,40005.25
29,26396.25
27,34410.25
36,28560.039
47,117311
32,17184.98
32,45409.66
70,11773.757
25,26531.25
61,44455.051
75,60349.977
36,999.53998
34,45950.605
45,206081.55
49,96267.148
21,14250.321
91,21172.258
41,27245.654
67,17213.85
49,52741.199
87,19298.023
46,472.40509
29,9019.6963
66,173729.5
50,80160.25
22,24957.699
66,129753.39
45,207400
29,18382.25
65,134590.75
19,58759.336
58,27459.521
48,83303.297
50,83416.695
65,188300.28
60,43577
69,45235.625
67,160844.25
38,145532.19
46,129456.75
19,147370.34
