imp_billindsev,imp_educat,imp_female,imp_financindsev,imp_foodindsev,imp_houseindsev,imp_race,q4r_age,r_age,sevhard,sevhealthd,spmpov,spmres,q4foodindsev,q4houseindsev,q4billindsev,q4financindsev,q4sevhard,q4spmres,q4spmpov,qweight_p,qweight_pu,q8r_age,q8sevhealthd,q8foodindsev,q8houseindsev,q8billindsev,q8financindsev,q8sevhard,q8spmres,q8spmpov
0,1,1,0,0,0,2. Black Non-Hispanic,,72,0,1,0,79066.641,,,,,,,,6911,6911,,,,,,,,,
0,2,1,0,0,0,1. White Non-Hispanic,,72,0,0,0,87516.094,,,,,,,,5230,2615,,,,,,,,,
0,4,0,0,0,0,1. White Non-Hispanic,86,85,0,0,0,207400,0,0,0,0,0,209057.91,0,12960,6480,87,0,0,0,0,0,0,206718.41,0
1,2,1,0,0,0,2. Black Non-Hispanic,52,51,1,1,1,21839.939,1,0,,1,,54787.605,0,8663,8663,,,,,,,,,
0,2,1,0,0,0,1. White Non-Hispanic,,27,0,0,0,136354.09,,,,,,,,6268,3134,,,,,,,,,
0,2,0,0,0,0,1. White Non-Hispanic,,29,0,0,1,34386.258,,,,,,,,9942,4971,,,,,,,,,
0,4,0,0,0,0,1. White Non-Hispanic,,58,0,0,0,77500.711,,,,,,,,7756,7756,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,39,37,0,0,0,59878,0,0,0,0,0,81890,0,1439,720,40,0,0,0,0,0,0,94322.539,0
0,4,1,0,0,0,3. Asian Non-Hispanic,56,54,0,0,1,10867.73,0,0,0,0,0,70444.602,0,6623,6623,57,1,0,0,0,0,0,69997.469,0
0,2,0,0,0,0,2. Black Non-Hispanic,,20,0,0,0,128178.61,,,,,,,,1477,1477,,,,,,,,,
0,2,0,0,0,0,2. Black Non-Hispanic,,35,0,0,0,55511.293,,,,,,,,19373,19373,,,,,,,,,
0,4,1,1,1,0,4. Other / MultiRacial,,,1,0,1,14059.249,1,0,0,1,1,63203.477,0,2196,2196,,0,0,0,0,1,1,26464.727,0
0,4,1,0,0,0,1. White Non-Hispanic,,38,0,0,0,173140.52,,,,,,,,8834,2945,,,,,,,,,
0,4,0,0,0,0,2. Black Non-Hispanic,,33,0,0,0,61024.18,,,,,,,,6394,3197,,,,,,,,,
0,4,0,0,0,0,1. White Non-Hispanic,59,57,0,0,0,61201.648,0,0,0,0,0,26193.029,0,9999,9999,60,0,0,0,0,0,0,59306.52,0
0,4,1,0,0,0,3. Asian Non-Hispanic,75,73,0,1,1,13051.109,0,0,0,0,0,122013.15,0,8254,8254,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,,69,0,0,0,93327.297,,,,,,,,6999,6999,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,49,48,0,0,0,59169.25,0,1,0,0,1,104998.1,0,7103,7103,50,0,0,,0,0,,171007.25,0
0,4,1,0,0,0,2. Black Non-Hispanic,65,64,0,0,1,23087.041,0,0,0,0,1,44747.852,0,5970,1990,66,0,0,0,0,0,0,65266.52,0
0,4,0,0,0,0,5. Hispanic,30,29,0,0,0,107014.25,0,0,0,0,0,60770.5,0,1243,1243,31,0,0,0,0,0,0,120476.84,0
0,3,1,0,0,0,4. Other / MultiRacial,61,60,0,1,0,29029.598,1,0,0,1,1,51804.543,0,1999,1999,62,1,1,0,0,0,1,25444.98,0
0,2,1,1,0,0,2. Black Non-Hispanic,53,51,1,1,0,14661.793,1,0,0,1,1,26492.801,0,2435,2435,54,0,0,0,0,0,1,10072.05,1
0,4,1,0,0,0,1. White Non-Hispanic,,49,0,0,0,167547.3,,,,,,,,12199,6100,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,71,70,0,0,0,105155.49,0,0,0,0,0,49800,0,5873,5873,72,0,0,0,0,0,0,70516.523,0
0,3,1,0,0,0,5. Hispanic,53,52,0,0,0,42148.25,0,0,0,0,1,41242.25,0,6715,6715,54,0,0,0,0,0,0,41620.82,0
0,3,1,0,0,0,5. Hispanic,,42,0,1,0,35450.25,,,,,,,,11961,3987,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,,56,0,0,0,207400,,,,,,,,9306,4653,,,,,,,,,
0,4,0,0,0,0,1. White Non-Hispanic,54,53,0,0,0,100384.1,0,0,0,0,1,132052.73,0,17336,8668,,0,0,0,0,0,1,112052.05,0
0,4,1,0,0,0,3. Asian Non-Hispanic,40,39,0,0,0,47282.859,0,0,0,0,0,154333.36,0,5719,2860,41,0,0,0,0,0,0,139993.56,0
0,4,0,0,0,0,1. White Non-Hispanic,48,46,0,0,1,0,0,0,0,0,0,38048.25,0,5450,5450,49,0,0,0,0,0,0,206718.41,0
1,4,1,1,1,0,2. Black Non-Hispanic,57,56,1,0,0,102847.08,1,1,0,1,1,129775.26,0,3019,1510,58,0,1,0,0,1,1,29326.01,0
0,4,1,0,0,0,1. White Non-Hispanic,50,49,1,0,0,42816.973,0,0,0,0,1,57559.32,0,2125,2125,51,0,0,0,0,0,1,10775.313,1
0,4,1,0,0,0,2. Black Non-Hispanic,,32,0,0,0,88565.875,,,,,,,,3594,1797,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,52,51,0,0,0,207400,0,0,0,0,0,209057.91,0,9411,4706,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,60,59,0,0,0,20000,0,0,0,0,0,22500,0,11900,5950,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,,65,1,1,0,35056.75,,,,,,,,6508,6508,,,,,,,,,
0,3,1,1,1,0,2. Black Non-Hispanic,49,47,1,0,0,131622.75,0,0,0,1,1,90711.633,0,3710,1855,50,0,1,0,1,1,1,130001.49,0
0,4,1,0,0,0,1. White Non-Hispanic,81,80,1,0,0,162221.44,0,0,0,0,0,92597.703,0,7067,3534,82,0,0,0,0,0,0,33252.602,0
0,1,1,0,0,0,4. Other / MultiRacial,70,59,0,0,1,-1180.02,0,0,0,,,39825.25,0,5123,2562,71,0,0,0,0,0,0,37823.406,0
0,3,1,1,1,0,1. White Non-Hispanic,78,77,1,0,0,17669.98,0,0,0,0,0,25610.371,0,9330,9330,79,0,0,0,0,0,1,21797.604,0
0,4,1,0,0,0,1. White Non-Hispanic,33,32,0,0,0,59510.199,0,0,0,0,0,146872.19,0,3757,1878,34,0,0,0,0,0,0,106604.14,0
0,4,0,0,0,0,1. White Non-Hispanic,,,0,0,1,7880.6431,,,,,,,,3514,3514,,,,,,,,,
0,4,1,1,0,0,3. Asian Non-Hispanic,24,22,1,0,1,17565.096,0,0,1,0,1,12479.855,1,30607,7652,25,0,0,0,0,0,0,31874.797,0
0,4,0,0,0,0,2. Black Non-Hispanic,,64,1,0,0,31180,,,,,,,,6892,3446,,,,,,,,,
0,3,1,0,0,0,2. Black Non-Hispanic,28,27,0,0,0,59172.652,0,1,1,0,1,86193.273,0,1052,526,29,0,0,0,1,0,1,114058.23,0
1,2,0,0,0,0,2. Black Non-Hispanic,22,20,1,0,0,143467.14,0,0,1,1,1,11605.591,1,27264,5453,,,,,,,,,
1,4,1,0,0,0,5. Hispanic,48,47,1,0,0,79147.406,0,0,0,0,0,57401.25,0,4551,4551,,0,0,0,0,0,0,52817.008,0
