imp_billindsev,imp_educat,imp_female,imp_financindsev,imp_foodindsev,imp_houseindsev,imp_race,r_age,sevhard,sevhealthd,spmpov,spmres
0,4,1,0,0,0,4. Other / MultiRacial,42,0,0,0,81440.586
0,4,1,0,0,0,1. White Non-Hispanic,65,1,0,0,167267.98
0,1,1,1,1,0,5. Hispanic,68,1,1,0,20663.27
1,4,0,0,1,0,2. Black Non-Hispanic,50,1,1,1,12111.721
0,2,0,0,0,1,2. Black Non-Hispanic,81,1,1,0,17653.043
0,4,1,0,0,0,1. White Non-Hispanic,49,0,1,0,126714.95
0,4,1,0,0,0,1. White Non-Hispanic,75,0,0,0,207400
1,3,1,0,0,0,2. Black Non-Hispanic,64,1,1,1,13092.414
0,2,0,0,0,0,2. Black Non-Hispanic,78,0,1,0,101517.52
0,4,1,0,1,0,2. Black Non-Hispanic,34,1,0,0,55484.148
0,3,0,0,0,0,2. Black Non-Hispanic,52,0,0,0,125306.25
0,3,1,1,0,0,5. Hispanic,58,1,1,0,41815.25
0,4,0,0,0,0,2. Black Non-Hispanic,79,0,1,0,103302.18
0,2,1,0,0,0,2. Black Non-Hispanic,38,1,0,1,1300.1749
0,2,0,0,0,0,5. Hispanic,82,0,0,0,26000
0,4,1,0,0,0,3. Asian Non-Hispanic,22,0,0,0,98064.555
0,4,0,1,1,0,2. Black Non-Hispanic,54,1,1,0,20185
0,4,1,0,0,0,1. White Non-Hispanic,62,0,0,0,79665.586
0,4,1,0,0,0,1. White Non-Hispanic,83,0,0,0,207400
0,2,1,1,1,0,2. Black Non-Hispanic,65,1,1,1,24448.029
0,3,1,0,0,0,5. Hispanic,33,1,1,0,167688.23
0,3,1,0,0,0,1. White Non-Hispanic,60,0,0,0,77579.688
0,4,1,0,0,0,1. White Non-Hispanic,38,0,0,0,116149.14
0,2,0,0,0,0,2. Black Non-Hispanic,46,0,1,1,12181.449
0,3,0,0,0,0,1. White Non-Hispanic,60,1,0,0,83511.453
0,3,0,0,0,0,1. White Non-Hispanic,18,0,0,0,207400
0,4,1,0,0,0,1. White Non-Hispanic,49,0,0,0,48073.25
0,4,0,0,0,0,1. White Non-Hispanic,73,0,0,0,207400
0,4,1,0,0,0,1. White Non-Hispanic,59,0,0,0,91444.023
0,4,0,0,0,0,1. White Non-Hispanic,78,0,0,0,207400
0,2,1,0,0,0,2. Black Non-Hispanic,69,0,1,1,-545
0,4,0,0,0,0,3. Asian Non-Hispanic,66,0,1,0,207400
0,2,0,1,0,0,2. Black Non-Hispanic,43,1,0,1,5805
0,4,1,0,0,0,1. White Non-Hispanic,39,0,0,1,22835.6
0,4,1,0,0,0,2. Black Non-Hispanic,50,0,0,0,37547.293
0,4,1,0,0,0,2. Black Non-Hispanic,45,0,0,0,43246.945
0,3,1,0,0,0,1. White Non-Hispanic,81,1,1,0,90520
0,4,1,0,0,0,2. Black Non-Hispanic,53,0,0,0,187453.27
0,4,0,0,0,0,1. White Non-Hispanic,53,0,0,0,85306.102
0,4,0,0,0,0,1. White Non-Hispanic,37,0,0,0,69262.383
0,4,1,0,0,0,2. Black Non-Hispanic,79,0,1,0,99050
0,3,0,0,0,0,1. White Non-Hispanic,33,0,0,0,112074.29
0,2,1,0,0,0,1. White Non-Hispanic,50,0,0,0,202924.81
0,4,0,0,0,0,1. White Non-Hispanic,60,0,1,0,207400
0,4,1,0,0,0,3. Asian Non-Hispanic,69,0,0,0,207400
0,2,0,0,0,0,2. Black Non-Hispanic,72,0,0,0,144099.98
0,2,1,1,1,0,1. White Non-Hispanic,48,1,1,1,44550.027
0,4,0,0,0,0,1. White Non-Hispanic,57,0,0,0,149038.98
0,2,1,0,0,0,1. White Non-Hispanic,77,0,0,0,47453.07
0,3,1,0,0,0,2. Black Non-Hispanic,70,0,0,0,43112.48
0,2,1,0,0,0,2. Black Non-Hispanic,82,0,1,1,16499.799
0,3,0,0,0,0,1. White Non-Hispanic,64,0,0,0,52457.5
0,3,0,0,0,0,1. White Non-Hispanic,61,0,0,0,207400
0,4,1,0,0,0,3. Asian Non-Hispanic,39,0,0,0,153816.75
0,4,0,0,0,0,1. White Non-Hispanic,63,0,1,0,207400
0,2,1,0,0,0,1. White Non-Hispanic,28,1,0,1,13642.096
0,4,1,1,0,0,1. White Non-Hispanic,,1,0,0,75980.789
0,4,1,0,0,0,1. White Non-Hispanic,34,0,0,0,156819.64
0,2,1,0,1,0,2. Black Non-Hispanic,83,1,1,1,6159.7803
0,1,1,0,0,0,2. Black Non-Hispanic,,0,0,1,0
0,4,1,0,0,0,3. Asian Non-Hispanic,42,0,0,0,41110.25
0,4,0,0,0,0,1. White Non-Hispanic,69,0,0,0,207400
1,1,1,0,1,0,2. Black Non-Hispanic,19,1,0,0,76631.117
0,4,1,0,0,0,5. Hispanic,65,0,1,0,17789.637
0,1,1,0,0,0,1. White Non-Hispanic,18,0,0,1,35097.16
0,3,1,1,0,0,2. Black Non-Hispanic,64,1,0,0,105367.55
0,3,1,0,0,0,1. White Non-Hispanic,93,0,1,0,95786.289
0,4,0,0,0,0,3. Asian Non-Hispanic,60,0,0,0,74677.016
0,4,0,0,0,0,3. Asian Non-Hispanic,36,0,1,0,207400
0,4,1,1,0,0,2. Black Non-Hispanic,64,1,1,0,83193.633
0,4,0,0,0,0,1. White Non-Hispanic,33,0,0,0,115578.66
0,4,1,0,1,0,1. White Non-Hispanic,87,1,1,0,81705.336
0,3,1,1,0,0,2. Black Non-Hispanic,43,1,0,0,156356.47
0,4,0,0,0,0,3. Asian Non-Hispanic,,0,0,0,182337.7
0,4,1,0,0,0,1. White Non-Hispanic,34,0,0,0,148687.14
0,3,1,0,0,0,2. Black Non-Hispanic,23,0,0,0,64566.957
0,2,0,0,0,0,4. Other / MultiRacial,20,0,0,1,20779.104
1,3,1,1,0,1,1. White Non-Hispanic,27,1,0,0,36454.652
0,4,1,0,0,0,1. White Non-Hispanic,23,0,0,0,138220.61
1,2,1,0,0,0,4. Other / MultiRacial,19,1,0,0,75018.055
1,2,1,1,0,0,2. Black Non-Hispanic,45,1,1,0,37041.555
1,2,1,1,0,0,2. Black Non-Hispanic,40,1,1,0,60371.848
0,3,0,0,0,0,1. White Non-Hispanic,55,0,0,0,77151.797
0,4,1,0,0,0,1. White Non-Hispanic,91,0,0,0,24361.197
1,2,1,0,0,0,5. Hispanic,28,1,0,1,9301.6279
0,1,1,0,0,0,1. White Non-Hispanic,75,0,1,0,19403.98
0,4,1,1,0,0,4. Other / MultiRacial,43,1,1,0,59776.789
0,3,1,0,0,0,1. White Non-Hispanic,60,0,1,0,73576.367
0,2,0,0,1,0,4. Other / MultiRacial,57,1,0,0,23960.039
0,3,0,1,0,0,1. White Non-Hispanic,59,1,1,0,31093.043
0,4,1,1,0,0,2. Black Non-Hispanic,67,1,1,0,56037.48
0,4,1,0,0,0,1. White Non-Hispanic,,0,0,0,70468.984
0,4,0,1,0,0,4. Other / MultiRacial,55,1,1,0,81100.078
1,3,1,1,0,0,1. White Non-Hispanic,47,1,0,0,58754.008
0,3,1,0,0,0,2. Black Non-Hispanic,23,0,0,1,32378.289
0,3,1,0,0,0,1. White Non-Hispanic,56,0,0,0,207400
0,1,1,0,0,0,2. Black Non-Hispanic,67,0,1,1,9442.7734
0,4,1,0,0,0,3. Asian Non-Hispanic,41,0,0,0,112525.38
0,4,1,0,0,0,1. White Non-Hispanic,66,0,0,0,162522.98
0,3,0,0,0,0,1. White Non-Hispanic,65,0,0,0,207400
0,1,0,0,0,0,1. White Non-Hispanic,68,0,0,1,1314.439
0,3,0,0,0,0,2. Black Non-Hispanic,20,0,1,0,35854.289
0,3,1,0,0,0,1. White Non-Hispanic,57,0,1,0,22932.674
0,1,1,0,0,0,2. Black Non-Hispanic,30,0,0,0,24952.068
0,4,1,1,0,0,2. Black Non-Hispanic,48,1,0,0,101053.25
1,2,1,1,1,0,2. Black Non-Hispanic,50,1,1,0,28366.504
0,1,1,0,0,0,2. Black Non-Hispanic,18,0,0,0,44393.59
1,3,1,0,0,0,1. White Non-Hispanic,57,1,0,0,122723.3
0,4,1,0,0,0,1. White Non-Hispanic,59,0,0,0,89121.5
0,2,0,1,0,1,1. White Non-Hispanic,47,1,0,0,174459.5
0,4,0,0,0,0,4. Other / MultiRacial,72,0,1,0,59710.75
0,1,1,1,1,0,5. Hispanic,58,1,1,1,11019.323
0,2,1,0,0,0,1. White Non-Hispanic,81,0,1,0,42500
0,4,0,0,0,0,5. Hispanic,27,0,0,1,5967.1499
0,3,1,0,0,0,2. Black Non-Hispanic,38,0,1,0,20883.402
0,2,1,0,0,0,1. White Non-Hispanic,64,0,0,0,66258.898
0,3,0,0,0,0,1. White Non-Hispanic,22,0,0,0,128907.17
0,2,1,0,0,0,1. White Non-Hispanic,82,0,0,0,103544.16
0,1,0,0,0,0,2. Black Non-Hispanic,64,0,0,1,26508.52
0,3,1,0,0,0,1. White Non-Hispanic,62,1,1,0,66214.148
0,2,1,0,0,0,2. Black Non-Hispanic,55,0,0,0,34598.727
0,1,0,0,1,0,3. Asian Non-Hispanic,19,1,1,0,177580.34
0,1,1,1,1,0,5. Hispanic,46,1,1,1,9906.6006
0,1,0,0,0,0,5. Hispanic,62,0,1,0,28914.283
0,4,1,0,0,0,1. White Non-Hispanic,61,0,0,0,90068.25
0,3,1,0,0,0,5. Hispanic,72,0,0,0,88368.445
1,2,0,1,1,0,4. Other / MultiRacial,54,1,1,1,11202.48
0,2,1,0,0,0,2. Black Non-Hispanic,50,0,1,0,52487.848
0,2,1,0,0,0,2. Black Non-Hispanic,69,0,0,0,54964.551
1,3,0,1,0,0,5. Hispanic,22,1,0,1,13144.374
0,4,1,0,0,0,1. White Non-Hispanic,58,0,0,0,93103.766
0,2,1,0,1,0,5. Hispanic,38,1,0,0,41400.48
0,4,0,0,0,0,1. White Non-Hispanic,76,0,0,0,31726.43
0,1,1,1,0,0,5. Hispanic,31,1,0,0,35705.957
1,1,1,1,0,0,1. White Non-Hispanic,18,1,1,0,39194.832
0,2,1,1,0,0,2. Black Non-Hispanic,82,1,0,1,8264.2881
0,4,0,0,0,0,2. Black Non-Hispanic,82,0,0,0,24124.068
0,4,1,0,0,0,3. Asian Non-Hispanic,70,1,0,1,18221.1
0,1,0,0,0,0,5. Hispanic,27,0,0,0,157035.78
0,2,0,0,0,0,2. Black Non-Hispanic,45,1,1,0,122862.91
0,2,1,1,1,0,5. Hispanic,50,1,1,1,21779.484
0,4,1,0,0,0,5. Hispanic,35,0,0,0,67134.75
0,4,0,0,0,0,4. Other / MultiRacial,57,1,0,0,73316.188
0,4,1,0,0,0,2. Black Non-Hispanic,44,0,0,0,207400
0,2,1,0,0,0,2. Black Non-Hispanic,78,0,0,1,8291.542
0,4,1,0,1,0,5. Hispanic,35,1,0,0,54728.25
0,4,0,0,0,0,2. Black Non-Hispanic,49,0,0,0,59234.898
0,4,1,0,0,0,1. White Non-Hispanic,66,0,1,0,128917.9
0,4,1,0,0,0,1. White Non-Hispanic,80,0,0,0,21753.043
0,2,1,0,0,0,5. Hispanic,47,0,0,0,67039.07
0,4,1,0,0,0,2. Black Non-Hispanic,52,0,0,0,48838.25
0,4,1,1,0,0,4. Other / MultiRacial,50,1,1,1,63.510799
0,2,1,0,0,0,5. Hispanic,19,0,0,1,35747.164
0,4,0,0,0,0,2. Black Non-Hispanic,63,0,0,0,124195.84
0,2,1,0,0,0,1. White Non-Hispanic,77,0,1,0,37506.086
0,2,1,0,0,0,4. Other / MultiRacial,66,0,1,0,57266.313
0,3,1,0,0,0,5. Hispanic,20,0,1,0,42824.551
0,2,1,0,0,0,5. Hispanic,52,0,1,1,36596.98
0,2,0,0,0,0,5. Hispanic,21,0,0,1,24514.852
0,3,1,0,0,0,1. White Non-Hispanic,28,0,0,0,55396.34
0,4,1,0,0,0,1. White Non-Hispanic,64,0,0,0,52545.609
1,2,1,1,0,1,2. Black Non-Hispanic,23,1,0,1,22609.027
0,3,0,0,0,0,1. White Non-Hispanic,62,0,0,0,38647.535
0,4,1,0,0,0,1. White Non-Hispanic,77,0,0,0,81781.391
0,4,1,0,0,0,1. White Non-Hispanic,52,0,0,0,97826.367
0,3,0,0,0,0,2. Black Non-Hispanic,53,0,0,0,55230.5
1,2,1,0,0,0,2. Black Non-Hispanic,33,1,0,0,57892.969
0,4,1,0,0,0,1. White Non-Hispanic,60,0,0,0,38879
0,4,0,0,0,0,1. White Non-Hispanic,64,0,0,0,123152.41
0,3,1,0,0,0,1. White Non-Hispanic,53,0,0,0,99239.547
0,3,1,0,0,0,1. White Non-Hispanic,21,0,0,0,55189.297
0,4,1,0,0,0,1. White Non-Hispanic,40,0,0,0,95095.328
0,3,1,1,1,0,5. Hispanic,64,1,0,0,153063.09
0,4,1,0,0,0,1. White Non-Hispanic,28,0,0,0,207400
0,3,0,0,0,0,2. Black Non-Hispanic,63,0,0,0,124782.98
0,4,0,0,0,0,1. White Non-Hispanic,50,0,0,0,141347.52
0,3,1,0,0,0,1. White Non-Hispanic,63,0,0,0,70490.484
0,4,1,0,0,0,5. Hispanic,60,0,0,0,113803.46
0,4,1,0,0,0,2. Black Non-Hispanic,28,0,0,0,207400
0,4,1,0,0,0,2. Black Non-Hispanic,33,0,0,0,39027.789
1,4,0,0,0,0,2. Black Non-Hispanic,53,1,0,0,37053.25
0,4,1,0,0,0,4. Other / MultiRacial,32,0,0,0,73499.867
0,2,0,0,0,0,2. Black Non-Hispanic,63,0,1,0,12408.243
0,4,1,1,0,0,1. White Non-Hispanic,53,1,0,0,40329.25
0,4,0,0,0,0,1. White Non-Hispanic,37,0,0,0,79437
0,4,0,0,0,0,1. White Non-Hispanic,58,0,0,0,34253.25
0,4,1,0,0,0,2. Black Non-Hispanic,66,0,0,0,109610.79
1,3,1,0,0,0,3. Asian Non-Hispanic,31,1,0,1,33473.117
0,4,0,0,0,0,3. Asian Non-Hispanic,26,1,0,1,39670.129
0,3,1,0,0,0,2. Black Non-Hispanic,75,0,1,0,22637.402
0,4,0,0,0,0,1. White Non-Hispanic,57,0,0,0,126487.02
0,4,1,0,0,0,2. Black Non-Hispanic,39,0,0,0,207400
0,4,1,0,0,0,1. White Non-Hispanic,65,0,0,0,188347.64
0,4,1,0,0,0,1. White Non-Hispanic,45,0,0,0,45943.25
0,3,0,0,0,0,4. Other / MultiRacial,49,0,1,0,207400
0,4,0,0,0,0,1. White Non-Hispanic,32,0,0,0,69842.977
0,3,1,0,0,0,1. White Non-Hispanic,57,0,0,1,11950
0,3,0,0,0,0,1. White Non-Hispanic,59,0,0,0,64981.391
0,4,1,0,0,0,5. Hispanic,48,0,1,0,207400
0,4,1,0,0,0,1. White Non-Hispanic,41,0,0,0,162740
0,4,1,0,0,0,2. Black Non-Hispanic,64,0,0,1,16875
0,2,0,0,0,0,2. Black Non-Hispanic,22,0,1,0,39139.5
0,2,1,1,0,0,1. White Non-Hispanic,61,1,0,0,19458.25
0,4,0,0,0,0,3. Asian Non-Hispanic,30,0,0,0,96132.5
0,4,1,0,0,0,2. Black Non-Hispanic,50,0,0,0,77605.25
0,4,1,0,0,0,5. Hispanic,74,0,1,0,41980.324
0,4,1,0,0,0,3. Asian Non-Hispanic,22,0,0,0,61580.199
0,3,1,1,0,0,2. Black Non-Hispanic,39,1,1,0,55949.5
0,2,1,1,1,0,2. Black Non-Hispanic,61,1,1,0,20127.023
0,2,1,0,0,0,5. Hispanic,70,0,1,0,24476.789
0,4,0,0,0,0,1. White Non-Hispanic,46,0,0,0,113620.9
0,4,1,0,0,0,1. White Non-Hispanic,67,0,0,0,155547.89
0,4,1,1,0,0,2. Black Non-Hispanic,63,1,0,0,42470.25
0,1,0,0,0,0,2. Black Non-Hispanic,65,1,1,0,207400
0,2,0,0,0,0,5. Hispanic,49,0,1,1,18736.063
0,4,1,0,0,0,2. Black Non-Hispanic,63,0,0,0,134879.08
0,1,1,0,0,0,5. Hispanic,83,0,1,0,39719.617
0,1,1,0,0,0,5. Hispanic,57,0,1,0,68895.023
0,4,0,0,0,0,3. Asian Non-Hispanic,56,0,0,0,48052.32
0,4,0,0,0,1,1. White Non-Hispanic,50,1,0,0,207400
0,4,1,0,0,0,2. Black Non-Hispanic,31,0,0,0,54693.5
